,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
26,상가투자 비밀노트,상가고수들의 진짜 돈 버는 노하우 ,송희창 감수,지혜로,2016-06-20,18000,31164,384,784,165*235*30,부동산/경매,107,http://www.yes24.com/Product/Goods/29074827
27,셀프 소송의 기술,"내용증명, 점유이전금지가처분, 인도명령, 명도소송, 유치권, 법정지상권, 지분, 대지권미등기 등 부동산 경·공매 관련 모든 실전 서식 수록 ","송희창 , 이시훈 저",지혜로,2020-01-06,55000,30864,740,"1,384",175*243*42,"경영전략/경영혁신, 부동산/경매",164,http://www.yes24.com/Product/Goods/85466451
28,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,30408,356,728,170*225*30,"회계/재무/세무, 부동산/경매",48,http://www.yes24.com/Product/Goods/90064729
29,강남에 집 사고 싶어요,10억으로 강남 아파트 사는 법! 자식을 100억 자산가로 키우는 법! ,오스틀로이드 저,진서원,2019-12-16,17000,28974,392,630,152*215*22,부동산/경매,49,http://www.yes24.com/Product/Goods/84902435
30,IGO빡시다의 돈되는 개발호재 핵심정리,,IGO빡시다(황성환) 저,잇콘,2020-05-02,19000,28782,252,520,170*225*20,부동산/경매,19,http://www.yes24.com/Product/Goods/90124249
31,놀부의 부동산 DNA,일하지 않아도 돈이 들어오는 투자 메커니즘  ,놀부(정형근 저,알키,2020-06-30,18000,27102,292,516,124*224*20,부동산/경매,0,http://www.yes24.com/Product/Goods/90699473
32,서른 살 청년백수 부동산경매로 50억 벌다,,차원희 저,지혜로,2015-04-20,15000,26901,316,578,151*223*30,부동산/경매,135,http://www.yes24.com/Product/Goods/17561653
33,서울 아파트 지도,돈 되는 아파트만 골라낸 특급 답사기 ,이재범(핑크팬더) 저,리더스북,2020-04-13,18000,26796,364,664,152*225*30,부동산/경매,29,http://www.yes24.com/Product/Goods/89784031
34,한국인의 눈물 : 월세투자자는 바보투자자다,자식들에게만 전해주는 월급쟁이와 가난뱅이가 부자 되는 방법  ,손대식 (前 KBS 교양 전문 PD) 저,지식과감성#,2019-08-12,35000,25374,424,,153*224*30,"주식/증권, 부동산/경매, 재테크일반, 외환투자",38,http://www.yes24.com/Product/Goods/78509261
35,파이낸셜 프리덤,경제적 자유를 이루는 부의 공식 ,그랜트 사바티어 저/ 박선령 역/ 지철원 감수,반니,2019-09-06,19500,25278,480,680,150*218*28,"부동산/경매, 재테크일반, 조선일보, 동아일보, 2019년 올해의 책 후보도서",13,http://www.yes24.com/Product/Goods/78518633
36,"빅데이터로 부동산 투자했다는 박 대리, 그래서 얼마 벌었대?",실패율 0%의 투자자 ‘플대표’의 빅데이터 투자법으로 나에게 딱 맞는 투자처 찾기! ,박상용(플대표) 저,잇콘,2020-05-02,18000,24558,304,624,170*225*30,"부동산/경매, 재테크일반",32,http://www.yes24.com/Product/Goods/90114555
37,부동산 투자 인사이트,,김준영 저,매일경제신문사,2019-08-30,17000,24300,264,486,152*225*14,부동산/경매,53,http://www.yes24.com/Product/Goods/78224988
38,"흙수저 루저, 부동산 경매로 금수저 되다",500만 원 종잣돈으로 10년 안에 10억 만드는 가장 현실적인 방법 ,김상준 저,매일경제신문사,2020-07-06,16000,22134,256,478,152*225*20,부동산/경매,20,http://www.yes24.com/Product/Goods/90555521
39,Hello 부동산 Bravo! 멋진 인생,부자 시스템을 알면 월급쟁이도 부자가 될 수 있다! ,김영록 저,지혜로,2016-09-30,14000,18762,280,520,152*223*20,부동산/경매,149,http://www.yes24.com/Product/Goods/32198336
