,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
33,한국인의 눈물 : 월세투자자는 바보투자자다,자식들에게만 전해주는 월급쟁이와 가난뱅이가 부자 되는 방법  ,손대식 (前 KBS 교양 전문 PD) 저,지식과감성#,2019-08-12,35000,26586,424,,153*224*30,"주식/증권, 부동산/경매, 재테크일반, 외환투자",7,http://www.yes24.com/Product/Goods/78509261
34,만화 재무제표 모르면 주식투자 절대로 하지마라 (상),스타강사 사경인 회계사가 알려주는 세상 쉬운 '투자 맞춤형' 재무제표 읽기 비법 ,사경인 원저/ 지애린 그림/ 베가북스 편집팀 편,베가북스,2020-04-24,13500,7512,234,434,152*225*20,"회계/재무/세무, 주식/증권, 재테크일반",0,http://www.yes24.com/Product/Goods/90035364
35,돈 공부는 처음이라,0원부터 시작하는 난생처음 부자 수업 ,"김종봉 , 제갈현열 저",다산북스,2019-02-22,16000,57831,344,516,145*195*22,"재테크일반, 2019년 올해의 책 후보도서",94,http://www.yes24.com/Product/Goods/69610365
36,내 아이 자산관리 바이블,"세뱃돈 관리부터 재테크까지, 내 아이 돈을 지키는 필수 금융지식들 ",고미숙 저,블루무스,2020-05-25,16000,6960,312,486,140*210*30,"재테크일반, 좋은부모되기",5,http://www.yes24.com/Product/Goods/90062598
37,하워드 막스 투자와 마켓 사이클의 법칙,주식시장의 흐름을 꿰뚫어보는 단 하나의 투자 바이블 ,하워드 막스 저/ 이주영 역/ 홍춘욱 감수,비즈니스북스,2018-10-29,18000,23490,436,768,152*225*30,"재테크일반, 외환투자",37,http://www.yes24.com/Product/Goods/65969077
38,워런 버핏의 주주 서한,워런 버핏이 직접 쓴 유일한 책 ,워런 버핏 저/ 이건 역/ 신진오 감수,서울문화사,2015-09-18,22000,24936,534,982,145*210*35,"기업/경영자스토리, 기업/경영자스토리, 주식/증권, 재테크일반",25,http://www.yes24.com/Product/Goods/20305985
39,제시 리버모어의 회상,,에드윈 르페브르 저,굿모닝북스,2010-07-26,14800,10923,445,659,153*224*30,"주식/증권, 재테크일반",2,http://www.yes24.com/Product/Goods/4049595
40,아빠의 첫 돈 공부,월급 노예 18년 만에 찾은 경제적 자유 달성기 ,박성현 저,알에이치코리아(RHK),2019-09-17,15800,18846,300,414,135*200*19,재테크일반,42,http://www.yes24.com/Product/Goods/78214818
41,페이크,가짜 뉴스와 정보에서 진짜 돈과 자산을 지켜라 ,로버트 기요사키 저/ 박슬라 역,민음인,2019-07-17,18000,63783,584,702,148*210*35,"재테크일반, 동아일보, 2019년 올해의 책 후보도서",38,http://www.yes24.com/Product/Goods/75729801
42,"GTX 시대, 돈이 지나가는 길에 투자하라","사두면 오르는 아파트, 서울을 거치는 신설 역세권에 있다! ",박희용(부동산히어로) 저,길벗,2020-03-27,17000,17802,260,492,152*225*20,"부동산/경매, 재테크일반",14,http://www.yes24.com/Product/Goods/89553061
43,왜 주식인가?,부자가 되려면 자본이 일하게 하라 ,존 리 저,이콘,2012-09-24,14800,22023,280,507,153*224*20,"주식/증권, 재테크일반",14,http://www.yes24.com/Product/Goods/7745106
44,된다! 김메주의 유튜브 영상 만들기,예능 자막부터 비밀스러운 광고 수익까지! ,김혜주 저,이지스퍼블리싱,2019-12-23,16000,16854,392,,188*257*30,"블로그/홈페이지 만들기, 유튜브, 인터넷 마케팅, 인터넷비즈니스, e-비즈니스, 재테크일반",17,http://www.yes24.com/Product/Goods/84938935
