,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
0,재무제표 모르면 주식투자 절대로 하지마라,,사경인 저,베가북스,2020-01-10,19800,216000,360,880,188*242*22,"회계/재무/세무, 주식/증권, 재테크일반",38,http://www.yes24.com/Product/Goods/86017987
1,하마터면 회계를 모르고 일할 뻔했다!,재무제표와 돈의 흐름이 보이는 ,"김수헌 , 이재홍 저",어바웃어북,2018-11-15,16800,44583,376,650,152*226*30,"회계/재무/세무, 2019년 올해의 책 후보도서",39,http://www.yes24.com/Product/Goods/65787664
2,부동산 절세 완전정복,절세 고수 자본가의 세금 폭탄 피하는 법 ,이승현(자본가) 저,한국경제신문사(한경비피),2020-04-28,18000,40734,356,728,170*225*30,"회계/재무/세무, 부동산/경매",44,http://www.yes24.com/Product/Goods/90064729
3,박 회계사의 완벽한 재무제표 활용법,,박동흠 저,더퀘스트,2019-11-18,26000,18144,412,678,170*225*20,"회계/재무/세무, 재테크일반",5,http://www.yes24.com/Product/Goods/82732097
4,박 회계사의 재무제표 분석법,"투자자를 위한 회계 강의, 재무 분석의 기초에서 완성까지 ",박동흠 저,부크온,2015-02-27,25000,15612,372,852,188*235*23,"회계/재무/세무, 주식/증권",14,http://www.yes24.com/Product/Goods/16039574
5,읽으면 진짜 재무제표 보이는 책,구구절절 설명 없이 꼭 필요한 핵심만 전달 ,유흥관 저,위즈덤하우스,2017-11-29,13800,15453,220,498,180*231*16,회계/재무/세무,36,http://www.yes24.com/Product/Goods/56933457
6,이것이 실전회계다,기초에서 고급까지 한 권으로 끝내는 ,"김수헌 , 이재홍 저",어바웃어북,2016-12-23,20000,14286,475,818,155*225*25,"회계/재무/세무, 중앙일보",22,http://www.yes24.com/Product/Goods/34836702
7,만화 재무제표 모르면 주식투자 절대로 하지마라 (상),스타강사 사경인 회계사가 알려주는 세상 쉬운 '투자 맞춤형' 재무제표 읽기 비법 ,사경인 원저/ 지애린 그림/ 베가북스 편집팀 편,베가북스,2020-04-24,13500,14280,234,434,152*225*20,"회계/재무/세무, 주식/증권, 재테크일반",2,http://www.yes24.com/Product/Goods/90035364
8,2020~2021 업계지도,투자처가 한 눈에 보이는 ,한국비즈니스정보 저,어바웃어북,2020-02-28,28000,13437,394,970,188*256*24,"회계/재무/세무, 주식/증권, 경제전망",20,http://www.yes24.com/Product/Goods/89317406
9,1인 부동산 법인 하려면 제대로 운영하라!,,신방수 저,매일경제신문사,2020-04-25,17000,13296,312,566,152*225*30,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/90039869
10,돈의 흐름이 보이는 회계 이야기,"회계의 탄생부터 이론, 재무제표 속 회계용어를 한 권으로 읽는다 ",구상수 저,길벗,2019-12-24,16000,12486,344,634,152*225*21,"경제상식/경제이야기, 회계/재무/세무",25,http://www.yes24.com/Product/Goods/85430053
11,경리회계에서 노무·급여·세금·4대 보험 까지,,손원준 저,지식만들기,2020-03-23,22000,11490,512,749,153*224*25,회계/재무/세무,6,http://www.yes24.com/Product/Goods/70185744
12,개인사업자의 자영업 경리 비법노트,CEO와 경리담당자가 꼭 알아야 할 ,손원준 저,지식만들기,2020-01-03,17000,8628,372,700,153*224*30,회계/재무/세무,2,http://www.yes24.com/Product/Goods/6200229
13,만화 재무제표 모르면 주식투자 절대로 하지마라 (하),10만 독자가 선택한 베스트셀러 만화 완결편! 스타강사 사경인 회계사가 알려주는 실전 최적화! '투자 맞춤형' 재무제표 읽기 비법 ,사경인 원저/ 지애린 그림/ 베가북스 편집팀 편,베가북스,2020-06-04,13500,8562,296,532,152*225*20,"회계/재무/세무, 주식/증권, 재테크일반",0,http://www.yes24.com/Product/Goods/90339507
14,전자공시 100% 활용법,내일의 주가가 보이는 ,이래학 저,이레미디어,2017-03-22,17500,7908,396,690,152*225*20,"회계/재무/세무, 주식/증권, 재테크일반",8,http://www.yes24.com/Product/Goods/37103562
15,주택임대사업자 등록과 절세 비법,,신방수 저,매일경제신문사,2020-03-15,17000,7224,312,564,152*225*30,"회계/재무/세무, 부동산/경매",3,http://www.yes24.com/Product/Goods/89413780
16,합법적으로 세금 안 내는 110가지 방법 : 부동산편,절세를 알아야 부자가 될 수 있다 ,신방수 저,아라크네,2020-01-05,16000,6588,336,520,152*225*17,"회계/재무/세무, 부동산/경매",0,http://www.yes24.com/Product/Goods/84927645
17,박 회계사의 사업보고서 분석법,"업종별 핵심 포인트 : 제조업, 제약·바이오, 도·소매, 수주업 ",박동흠 저,부크온,2017-01-31,22000,6408,292,662,188*235*17,"회계/재무/세무, 주식/증권",7,http://www.yes24.com/Product/Goods/35117695
18,"창업과 세금절세 및 세무신고(부가가치세, 종합소득세) 직접 하기","자영업자의 성공 창업을 위한 사업자금 운용, 창업 관련 정부지원자금 활용, 1인기업 4대보험 관리와 ",편집부 저,경영정보사,2020-01-05,25000,6156,678,,148*210,회계/재무/세무,7,http://www.yes24.com/Product/Goods/12127566
19,"경리실무, 세무회계, 4대 보험, 인사노무 업무 설명서",경영지원 실무사용자 매뉴얼 ,손원준 저,지식만들기,2020-02-10,38000,5838,976,"1,398",153*224*40,회계/재무/세무,4,http://www.yes24.com/Product/Goods/86622239
