,제목,부제,저자,출판사,출간일,가격,지수,쪽,무게,판형,분류,리뷰수,URL
20,합법적으로 세금 안 내는 110가지 방법 : 개인편,절세를 알아야 부자가 될 수 있다 ,신방수 저,아라크네,2020-01-05,16000,5592,328,508,152*225*17,회계/재무/세무,0,http://www.yes24.com/Product/Goods/84927600
21,2시간에 끝나는 부가가치세 셀프 신고 ,,최용규 저,헤리티지,2018-11-30,14000,5436,240,368,140*210*20,회계/재무/세무,3,http://www.yes24.com/Product/Goods/67034473
22,한눈에 보는 실전 재무제표,재무제표 서적으로 아마존 초유의 베스트셀러가 된 책 ,토마스 R. 아이텔슨 저/ 박수현 역,이레미디어,2019-11-15,13800,5265,368,540,153*224*19,"회계/재무/세무, 주식/증권, 재테크일반",20,http://www.yes24.com/Product/Goods/81006605
23,"지출증빙, 부가가치세, 종합소득세, 원천징수, 급여세금 실무설명서",,손원준 저,지식만들기,2020-01-10,17000,5154,384,708,153*224*20,회계/재무/세무,5,http://www.yes24.com/Product/Goods/84933614
24,자본의 방식,자본은 어떻게 당신을 지배해 왔는가? ,유기선 저,행복우물,2020-01-31,16000,4878,270,450,155*225*20,"경영일반, 회계/재무/세무, 주식/증권",41,http://www.yes24.com/Product/Goods/88240925
25,2020 세금 완전정복,,택스워치팀 저,어바웃어북,2019-11-01,18000,4668,399,692,153*224*23,"경제상식/경제이야기, 회계/재무/세무",19,http://www.yes24.com/Product/Goods/81514401
26,합법적으로 세금 안 내는 110가지 방법 : 기업편,,신방수 저,아라크네,2020-01-05,16000,4512,320,494,152*225*16,회계/재무/세무,1,http://www.yes24.com/Product/Goods/84927622
27,회계 천재가 된 홍대리 1,회계의 본질 편 ,손봉석 저,다산라이프,2018-03-23,15000,4500,260,368,145*210*18,회계/재무/세무,4,http://www.yes24.com/Product/Goods/59413887
28,기업경영과 절세설계 2020,,김창영 저,영화조세통람(조세통람),2020-03-18,38000,4479,824,,176*248*40,회계/재무/세무,0,http://www.yes24.com/Product/Goods/89584355
29,사장님! 절세? 어렵지 않아요,절세는 아는 만큼 이루어진다 ,최용규 저,가나북스,2019-07-20,15000,4413,204,255,140*200*12,회계/재무/세무,21,http://www.yes24.com/Product/Goods/75185482
30,직장인이여 회계하라,,윤정용 저,덴스토리(DENSTORY),2016-12-01,14000,4371,292,384,150*195*18,회계/재무/세무,18,http://www.yes24.com/Product/Goods/33425706
31,"중소기업, 경리업무, 세무회계, 인사노무, 4대 보험 실무설명서",,손원준 저,지식만들기,2020-01-30,18000,4146,416,768,153*224*23,회계/재무/세무,1,http://www.yes24.com/Product/Goods/85927487
32,왕초보 경리실무,,손원준 저,지식만들기,2020-01-03,14000,4134,452,664,153*224*30,회계/재무/세무,7,http://www.yes24.com/Product/Goods/9176208
33,개인사업자로 창업해서 기장 안 맡기고 혼자 하는 경리비법노트,자영업자/쇼핑몰/점포 운영자 ,손원준 저,지식만들기,2020-03-06,17000,3780,400,,153*224*30,회계/재무/세무,0,http://www.yes24.com/Product/Goods/69722950
34,내 생애 첫 회계 공부,,유양훈 저,원앤원북스,2020-04-21,19000,3720,400,594,152*225*30,회계/재무/세무,13,http://www.yes24.com/Product/Goods/89938095
35,회계·노무 담당자가 꼭 알아야 하는 최소한의 업무 지식,,"유양훈 , 정선아 저",원앤원북스,2018-12-01,22500,3276,432,616,152*225*30,회계/재무/세무,13,http://www.yes24.com/Product/Goods/67093729
36,만화로 배우는 재무회계,,이시노 유이치 저/ 이시노 도이 그림/ 신현호 역,비전코리아,2019-04-01,15800,3261,216,368,150*210*17,회계/재무/세무,11,http://www.yes24.com/Product/Goods/71760608
37,워렌 버핏의 재무제표 파헤치기,하루 만에 대박 주식 찾는 ,전인구 저,한국경제신문i ,2018-08-24,18000,3102,282,531,152*225*18,회계/재무/세무,20,http://www.yes24.com/Product/Goods/64089520
38,부동산 매매.임대사업자 세무 가이드북 실전편,경공매·NPL 투자자와 자산가도 꼭 알아야 하는 ,신방수 저,매일경제신문사,2019-01-03,18000,3060,343,692,188*257*30,회계/재무/세무,0,http://www.yes24.com/Product/Goods/67559845
39,병의원세무 가이드북 : 실전편,,"신방수 , 이인범 , 김성진 공저",매일경제신문사,2019-01-03,18000,3036,364,536,188*257*15,"경영일반, 회계/재무/세무",0,http://www.yes24.com/Product/Goods/67505345
